# Residuals    
# Time         	p              	sigmaxx        	sigmayy        	sigmayz        	sigmazz        
2.8            	2.89606910e-01	3.49454240e-01	3.35949430e-01	0.00000000e+00	0.00000000e+00
2.85           	5.78088330e-01	8.40039500e-01	7.60824450e-01	0.00000000e+00	0.00000000e+00
2.9            	7.44031160e-01	8.64139620e-01	8.14795390e-01	0.00000000e+00	0.00000000e+00
2.95           	8.52435760e-01	4.14477950e-01	5.34879910e-01	0.00000000e+00	0.00000000e+00
3              	9.25646020e-01	2.52482490e-01	4.23264500e-01	0.00000000e+00	0.00000000e+00
3.05           	9.92255650e-01	1.84258210e-01	3.94919210e-01	0.00000000e+00	0.00000000e+00
3.1            	9.45493520e-01	2.19127380e-01	4.78213550e-01	0.00000000e+00	0.00000000e+00
3.15           	8.72302470e-01	5.80853470e-01	6.93153680e-01	0.00000000e+00	0.00000000e+00
3.2            	7.45671050e-01	8.78417920e-01	5.28638870e-01	0.00000000e+00	0.00000000e+00
3.25           	3.39156890e-01	3.46639120e-01	2.68575100e-01	0.00000000e+00	0.00000000e+00
3.3            	2.88871430e-01	2.11982050e-01	1.48393050e-01	0.00000000e+00	0.00000000e+00
3.35           	5.77073780e-01	1.54555190e-01	1.16770310e-01	0.00000000e+00	0.00000000e+00
3.4            	7.42975050e-01	1.19867320e-01	1.15993060e-01	0.00000000e+00	0.00000000e+00
3.45           	8.51757870e-01	9.32461420e-02	1.16824110e-01	0.00000000e+00	0.00000000e+00
3.5            	9.24953190e-01	6.90205860e-02	1.13068110e-01	0.00000000e+00	0.00000000e+00
3.55           	9.91417290e-01	5.15115880e-02	1.14352770e-01	0.00000000e+00	0.00000000e+00
3.6            	9.46325420e-01	5.53749740e-02	1.32400610e-01	0.00000000e+00	0.00000000e+00
3.65           	8.73215480e-01	8.62815380e-02	1.69067850e-01	0.00000000e+00	0.00000000e+00
3.7            	7.47117940e-01	1.34071990e-01	2.16595890e-01	0.00000000e+00	0.00000000e+00
3.75           	3.40213970e-01	2.17783890e-01	2.85653940e-01	0.00000000e+00	0.00000000e+00
3.8            	2.89547540e-01	4.43959470e-01	4.07902460e-01	0.00000000e+00	0.00000000e+00
3.85           	5.78006500e-01	8.90794900e-01	7.05348810e-01	0.00000000e+00	0.00000000e+00
3.9            	7.43948030e-01	6.22830820e-01	6.02904610e-01	0.00000000e+00	0.00000000e+00
3.95           	8.52382180e-01	3.25346320e-01	4.21745780e-01	0.00000000e+00	0.00000000e+00
4              	9.25591630e-01	2.07918120e-01	3.54842790e-01	0.00000000e+00	0.00000000e+00
4.05           	9.92193040e-01	1.52497250e-01	3.40971440e-01	0.00000000e+00	0.00000000e+00
4.1            	9.45561570e-01	1.74984280e-01	4.10248510e-01	0.00000000e+00	0.00000000e+00
4.15           	8.72375380e-01	3.91269070e-01	5.96615300e-01	0.00000000e+00	0.00000000e+00
4.2            	7.45788600e-01	9.49733730e-01	5.88739600e-01	0.00000000e+00	0.00000000e+00
4.25           	3.39243360e-01	4.45498420e-01	3.15349320e-01	0.00000000e+00	0.00000000e+00
4.3            	2.88925740e-01	2.42955020e-01	1.65565870e-01	0.00000000e+00	0.00000000e+00
4.35           	5.77148730e-01	1.69893860e-01	1.27098050e-01	0.00000000e+00	0.00000000e+00
4.4            	7.43054060e-01	1.29179050e-01	1.24472170e-01	0.00000000e+00	0.00000000e+00
4.45           	8.51807080e-01	9.95237190e-02	1.24560010e-01	0.00000000e+00	0.00000000e+00
4.5            	9.25003190e-01	7.33655190e-02	1.20169880e-01	0.00000000e+00	0.00000000e+00
4.55           	9.91485650e-01	5.47109890e-02	1.21062430e-01	0.00000000e+00	0.00000000e+00
4.6            	9.46264960e-01	5.87615980e-02	1.40628810e-01	0.00000000e+00	0.00000000e+00
4.65           	8.73148350e-01	9.23128680e-02	1.81511210e-01	0.00000000e+00	0.00000000e+00
4.7            	7.47009650e-01	1.46208950e-01	2.37610910e-01	0.00000000e+00	0.00000000e+00
